,sex,height,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
33,1,68.3,-0.3521,8.1955,0.08219,H,6.469745234526033,6.985148809110673,7.557663021173299,8.1955,8.908340111689572,9.707649073348204,10.607076118288038
34,1,68.4,-0.3521,8.2183,0.0822,H,6.487565078374971,7.00444916921969,7.578614894555067,8.2183,8.933215237310998,9.734862550864344,10.636934600341363
35,1,68.5,-0.3521,8.241,0.08221,H,6.50530499698038,7.0236635696567555,7.599474144789669,8.241,8.957982174470468,9.761958724986293,10.666665602755918
36,1,68.6,-0.3521,8.2638,0.08222,H,6.523122869169038,7.042962468645828,7.620425203654903,8.2638,8.982858322427518,9.789174505243192,10.696527989643894
37,1,68.7,-0.3521,8.2865,0.08223,H,6.540860820582403,7.0621754112415225,7.641283641181436,8.2865,9.007626279705123,9.81627297717545,10.726262888648103
38,1,68.8,-0.3521,8.3092,0.08224,H,6.558597789571828,7.081387625764091,7.662141672814053,8.3092,9.032394746498055,9.84337259682959,10.755999734015312
39,1,68.9,-0.3521,8.332,0.08225,H,6.576412705773566,7.100684334088979,7.683091510412774,8.332,9.057272427478821,9.870591830311522,10.785867977002964
40,1,69.0,-0.3521,8.3547,0.08226,H,6.594147707901703,7.119895090938004,7.703948729385401,8.3547,9.082041914453791,9.897693748072584,10.815608719737915
41,1,69.1,-0.3521,8.3774,0.08227000000000001,H,6.611881727771137,7.139105119797753,7.7248055424881334,8.3774,9.106811910976019,9.924796813703738,10.845351409224673
42,1,69.2,-0.3521,8.4001,0.08227999999999999,H,6.629614765436916,7.158314420696155,7.745661949728972,8.4001,9.131582417056139,9.951901027254367,10.8750960455928
43,1,69.3,-0.3521,8.4227,0.08229,H,6.647267900086663,7.17743777825779,7.766425742848464,8.4227,9.156244723564924,9.978887912656782,10.904713160830278
44,1,69.4,-0.3521,8.4454,0.0823,H,6.664998975688498,7.196645624928229,7.7872813392856335,8.4454,9.18101624767321,10.005994419679205,10.934461687095954
45,1,69.5,-0.3521,8.468,0.08231000000000001,H,6.682650152740698,7.2157675315395515,7.808044323409666,8.468,9.205679569992338,10.032983593621424,10.964082683981987
46,1,69.6,-0.3521,8.4906,0.08232,H,6.700300352165472,7.234888713522911,7.8288069034959795,8.4906,9.230343399672762,10.059973910649683,10.99370561975898
47,1,69.7,-0.3521,8.5132,0.08233,H,6.717949574017606,7.254009170906111,7.8495690795525395,8.5132,9.255007736725076,10.086965370813164,11.023330494555982
48,1,69.8,-0.3521,8.5358,0.08235,H,6.735411922607854,7.27299141511341,7.870254366252145,8.5358,9.279768149233139,10.114172707271685,11.053320492812034
49,1,69.9,-0.3521,8.5583,0.08236,H,6.7529797986219275,7.292024858750714,7.890923330777768,8.5583,9.304325038451285,10.14104853485093,11.08282072588488
50,1,70.0,-0.3521,8.5808,0.08237,H,6.770546701619447,7.3110575811110525,7.911591893094904,8.5808,9.328882432840885,10.167925500714174,11.112322889940828
51,1,70.1,-0.3521,8.6032,0.08238,H,6.788033730388774,7.330004381315675,7.932167853008616,8.6032,9.35333161319622,10.194685106152875,11.141697478674994
52,1,70.2,-0.3521,8.6257,0.0824,H,6.805410871122139,7.348896743921344,7.952758326019109,8.6257,9.377986598171749,10.22178137206758,11.17157059177254
53,1,70.3,-0.3521,8.648,0.08241,H,6.822816585211711,7.367756553269767,7.973241087043962,8.648,9.402328315147878,10.248425310304512,11.200820480795317
54,1,70.4,-0.3521,8.6704,0.08242000000000001,H,6.840300227804631,7.386700842376456,7.993815646100116,8.6704,9.426779256560843,10.275188885811087,11.230201807833417
55,1,70.5,-0.3521,8.6927,0.08242999999999999,H,6.8577040116645245,7.405559220729612,8.014297609061645,8.6927,9.451121976150704,10.301835083508497,11.259455530356787
56,1,70.6,-0.3521,8.715,0.08245,H,6.8749171039634085,7.424276545275507,8.034701092648564,8.715,9.475562784514267,10.32870171390189,11.28908214145681
57,1,70.7,-0.3521,8.7372,0.08246,H,6.89223959775976,7.443047950825655,8.055089866673931,8.7372,9.499798028537144,10.355232217319724,11.318211119027183
58,1,70.8,-0.3521,8.7594,0.08248,H,6.909370459239112,7.461677601695921,8.075399768435426,8.7594,9.524131860397853,10.381984284796175,11.347714916692945
