,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
541,1,541,-0.5441,16.1597,0.07877,L,12.93858728586063,13.892787673579804,14.960176184780547,16.1597,17.514486111533067,19.053006975558542,20.810645952266597
542,1,542,-0.5447,16.1567,0.07876,L,12.936713389888677,13.89055701435228,14.957568617961085,16.1567,17.511086191726488,19.049212871536273,20.80648449180725
543,1,543,-0.5453,16.1537,0.07876,L,12.934495454249994,13.888070387874135,14.954817585235235,16.1537,17.507869247426008,19.04583551034673,20.803039391140423
544,1,544,-0.546,16.1507,0.07875,L,12.932651747942032,13.88585486567388,14.952214282135907,16.1507,17.504475137989825,19.04206805479498,20.798947564654842
545,1,545,-0.5466,16.1477,0.07874,L,12.930777062053114,13.883623738953311,14.94960651912237,16.1477,17.50107531326587,19.03827401577916,20.79478600064345
546,1,546,-0.5472,16.1447,0.07874,L,12.92855862113777,13.881136838094383,14.946855385630311,16.1447,17.497858385969778,19.034896606750237,20.791340735787603
547,1,547,-0.5479,16.1418,0.07873,L,12.926794163236039,13.879006809565883,14.944344462694334,16.1418,17.494572747102985,19.031247098589017,20.78737755493032
548,1,548,-0.5485,16.1388,0.07873,L,12.924575417419133,13.87651974762731,14.941593272809738,16.1388,17.491355822945543,19.027869648030848,20.78393218360396
549,1,549,-0.5491,16.1359,0.07872,L,12.922779834027171,13.874374027883075,14.939077853426118,16.1359,17.488064486400635,19.024193567122246,20.779899239773794
550,1,550,-0.5497,16.1329,0.07871,L,12.920903880245325,13.872142152585244,14.936469777343097,16.1329,17.484664810750974,19.02039962454762,20.77573749877442
551,1,551,-0.5503,16.13,0.07871,L,12.918764733080431,13.86974080896752,14.93381107207304,16.13,17.48155628367585,19.01714002747066,20.772420743644787
552,1,552,-0.551,16.127,0.0787,L,12.91691885713126,13.867524019534384,14.931207247115458,16.127,17.478162404541774,19.013372686359887,20.768328559806744
553,1,553,-0.5516,16.1241,0.07869,L,12.915122216867587,13.865377671378374,14.928691562290034,16.1241,17.474871200552705,19.009696703822197,20.764295491955462
554,1,554,-0.5522,16.1212,0.07869,L,12.912982575886065,13.862976060047659,14.926032758987937,16.1212,17.471762689382167,19.006437058945668,20.760978577008782
555,1,555,-0.5528,16.1183,0.07868,L,12.91118546202556,13.860829433521683,14.923516958495865,16.1183,17.46847153867386,19.002761107214475,20.756945436407804
556,1,556,-0.5534,16.1154,0.07867,L,12.909388068677524,13.858682638329228,14.921001085270522,16.1154,17.46518042783923,18.999085192169446,20.752912277542496
557,1,557,-0.5541,16.1125,0.07867,L,12.907278434382892,13.85629610105481,14.918346545923677,16.1125,17.46207766725334,18.995852042767382,20.749664786707765
558,1,558,-0.5547,16.1096,0.07866000000000001,L,12.905480551331925,13.854149019827487,14.915830554999552,16.1096,17.45878660752674,18.99217614994843,20.745631537171985
559,1,559,-0.5553,16.1067,0.07866000000000001,L,12.903340130336748,13.851746988784443,14.9131716000223,16.1067,17.455678115870604,18.98891641828779,20.742314358256138
560,1,560,-0.5559,16.1039,0.07865,L,12.9016218892896,13.849685631555813,14.910748084417946,16.1039,17.452495483819618,18.985358449349874,20.738409814933114
561,1,561,-0.5565,16.101,0.07864,L,12.899823257534786,13.847538105937282,14.908231906261173,16.101,17.449204516418284,18.981682622694997,20.734376472849405
562,1,562,-0.5571,16.0981,0.07864,L,12.897682356475196,13.845135813298217,14.905572854733094,16.0981,17.44609604179885,18.978422846227545,20.73105913535864
563,1,563,-0.5577,16.0953,0.07862999999999999,L,12.895963374799244,13.843074016738838,14.90314915420121,16.0953,17.442913500480127,18.97486494134663,20.72715449847757
564,1,564,-0.5583,16.0925,0.07862999999999999,L,12.89390231118295,13.840757579587818,14.90058264236187,16.0925,17.439913402393785,18.97172301758618,20.723965837086823
565,1,565,-0.5589,16.0896,0.07862000000000001,L,12.89210274128575,13.838609502639292,14.898066235232333,16.0896,17.436622539908498,18.968047249901886,20.719932346379604
566,1,566,-0.5595,16.0868,0.07861,L,12.890383022901032,13.836547269193261,14.89564235089246,16.0868,17.433440088457175,18.96448940764757,20.71602761429449
567,1,567,-0.5602,16.084,0.07861,L,12.888351837878247,13.834245848154692,14.893080089222133,16.084,17.430445724258743,18.96137392494027,20.712908292766954
568,1,568,-0.5608,16.0812,0.0786,L,12.886631642349695,13.832183336430127,14.890656090670062,16.0812,17.427263321512747,18.957816101573055,20.709003467750716
569,1,569,-0.5614,16.0784,0.07859,L,12.88491117490809,13.830120660815236,14.888232021598498,16.0784,17.4240809568953,18.954258311998945,20.705098621180696
570,1,570,-0.562,16.0756,0.07859,L,12.882849161878584,13.827803708413171,14.88566532083322,16.0756,17.421080889754506,18.951116296566912,20.701909652213754
571,1,571,-0.5626,16.0728,0.07858,L,12.881128233993119,13.82574076243429,14.883241139637217,16.0728,17.417898576043747,18.947558534486753,20.698004730438374
572,1,572,-0.5632,16.0701,0.07858,L,12.879146084546319,13.823509681675649,14.880766985757623,16.0701,17.415006881047358,18.944534367317335,20.69494443970037
573,1,573,-0.5638,16.0673,0.07857,L,12.877424699731844,13.821446467595903,14.878342693512515,16.0673,17.41182461734184,18.940976631184558,20.69103944090663
574,1,574,-0.5644,16.0646,0.07856,L,12.875783193435797,13.819469114159604,14.87601093198168,16.0646,17.408750758959904,18.937536812605654,20.687263196179476
575,1,575,-0.565,16.0618,0.07856,L,12.87372043453807,13.81715175971012,14.87344408554413,16.0618,17.405750711319296,18.93439471567703,20.684073976735906
