,sex,length,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
340,1,79.0,-0.3521,10.2649,0.08316,L,8.081726578313676,8.732905342426664,9.457088267049564,10.2649,11.168888469255508,12.18394562831288,13.32783716974836
341,1,79.1,-0.3521,10.2831,0.08315,L,8.096279014598265,8.748554356704489,9.47394803476936,10.2831,11.188576009025484,12.205288866414046,13.351028749366312
342,1,79.2,-0.3521,10.3012,0.08315,L,8.110529838782044,8.763953296115401,9.490623790079466,10.3012,11.208269800368889,12.226772244819596,13.374528824281809
343,1,79.3,-0.3521,10.3194,0.08313999999999999,L,8.125083466761469,8.779603190662938,9.507484046842409,10.319400000000002,11.227956730871224,12.24811411615848,13.39771809624533
344,1,79.4,-0.3521,10.3376,0.08313,L,8.1396378934812,8.795253674563593,9.524344630641755,10.3376,11.247643254993406,12.269455077172113,13.42090583356003
345,1,79.5,-0.3521,10.3558,0.08313,L,8.153968241885217,8.810738276103317,9.541112843019645,10.3558,11.26744544382262,12.291056230476993,13.444534188900803
346,1,79.6,-0.3521,10.3741,0.08312,L,8.168602602954008,8.826474723784377,9.558066050706715,10.3741,11.28724015969629,12.3125145074591,13.467849436458343
347,1,79.7,-0.3521,10.3923,0.08311,L,8.183159024689093,8.842126680642949,9.57492745241018,10.3923,11.306925665974338,12.333853186552236,13.491033323478685
348,1,79.8,-0.3521,10.4107,0.0831,L,8.197873734698755,8.857949397031703,9.591973452612494,10.410700000000002,11.326828365646332,12.355428315634757,13.51447530283259
349,1,79.9,-0.3521,10.4291,0.08309,L,8.212589252328977,8.873772709301912,9.609019783459807,10.4291,11.34673065449187,12.377002524477955,13.53791573090647
350,1,80.0,-0.3521,10.4475,0.08308,L,8.227305577624865,8.88959661747639,9.626066444958637,10.4475,11.36663253251955,12.398575813121534,13.561354607804004
351,1,80.1,-0.3521,10.466,0.08307,L,8.242101461839834,8.905506211451932,9.643205575521526,10.466,11.386642796248523,12.420266854133887,13.584921734142277
352,1,80.2,-0.3521,10.4845,0.08305,L,8.257125889424158,8.921584975352863,9.660438897673913,10.4845,11.406535144803335,12.441692675615576,13.608039792723398
353,1,80.3,-0.3521,10.5031,0.08304,L,8.272002565950334,8.93758116413859,9.677671001095474,10.503100000000002,11.426653169910878,12.463500072564479,13.631732818162455
354,1,80.4,-0.3521,10.5217,0.08302999999999999,L,8.286880059041925,8.953577955366734,9.694903438779923,10.5217,11.446770779757887,12.48530653941638,13.65542427583727
355,1,80.5,-0.3521,10.5405,0.08301,L,8.302144874668876,8.969915033339527,9.712414861913429,10.5405,11.466987433011788,12.50708372056301,13.678923905716115
356,1,80.6,-0.3521,10.5592,0.083,L,8.31710318440787,8.985998437287822,9.729740282367873,10.5592,11.487212791993585,12.529006516011208,13.702741216554596
357,1,80.7,-0.3521,10.5781,0.08298,L,8.332449676717763,9.002422758542126,9.747345035803251,10.5781,11.507536769025371,12.550899080953707,13.726365121356901
358,1,80.8,-0.3521,10.597000000000001,0.08297,L,8.347567593738416,9.018677894191168,9.764855593595003,10.597000000000005,11.52797865354187,12.573056832440187,13.750438009794264
359,1,80.9,-0.3521,10.6161,0.08295,L,8.363074566591685,9.03527458745208,9.782645837298658,10.6161,11.54851872406347,12.595183393662966,13.774315888780416
360,1,81.0,-0.3521,10.6352,0.08292999999999999,L,8.378583233973707,9.051872526857375,9.800436770038065,10.6352,11.56905794510581,12.617308060300841,13.798190588862884
361,1,81.1,-0.3521,10.6544,0.08291,L,8.394172382043411,9.068556828105573,9.81832054457109,10.6544,11.589705095285051,12.639549464720723,13.822191842707925
362,1,81.2,-0.3521,10.6737,0.0829,L,8.409610044810519,9.085155818040352,9.836201593323343,10.6737,11.610579763797984,12.662176532097703,13.846774885026893
363,1,81.3,-0.3521,10.6931,0.08288,L,8.425359754973778,9.102012551381392,9.854270891417874,10.693100000000003,11.631442966223709,12.684651840557786,13.871029957811492
364,1,81.4,-0.3521,10.7126,0.08286,L,8.441189983279402,9.11895567416519,9.872433046600788,10.7126,11.652414078833829,12.707243844405875,13.895411512994663
365,1,81.5,-0.3521,10.7322,0.08284,L,8.457100742961812,9.135985196140478,9.890688064272403,10.7322,11.673493094942032,12.729952528692218,13.91991952542231
366,1,81.6,-0.3521,10.752,0.08282,L,8.473170852789876,9.153186257137486,9.909128110623024,10.752,11.694788776359166,12.752896487997116,13.94468366380329
367,1,81.7,-0.3521,10.7718,0.08279,L,8.489476917919882,9.17056191504773,9.927665335304921,10.7718,11.715962898905957,12.775567149302097,13.968985266852702
368,1,81.8,-0.3521,10.7918,0.08277000000000001,L,8.505708622077787,9.187936163482426,9.946291320654376,10.791800000000004,11.737474126473336,12.798743891462525,13.994001356641835
369,1,81.9,-0.3521,10.8119,0.08275,L,8.522020921508743,9.205396858192046,9.965010194583918,10.8119,11.759093225208286,12.822037241742734,14.019143781937474
370,1,82.0,-0.3521,10.8321,0.08273,L,8.538413829458499,9.222944008931039,9.983821962495497,10.8321,11.780820188426649,12.84544718520287,14.044412517611333
371,1,82.1,-0.3521,10.8524,0.0827,L,8.555123389428202,9.240752267453397,10.002823827115684,10.8524,11.8025334434482,12.868700413309279,14.069345047430195
372,1,82.2,-0.3521,10.8728,0.08267999999999999,L,8.571678015486599,9.258472696747543,10.021821584465625,10.8728,11.824475890458695,12.89234300031166,14.09486550030382
373,1,82.3,-0.3521,10.8934,0.08265,L,8.58862909854622,9.276540093000083,10.041101998971648,10.893400000000003,11.846512914595861,12.915946415748852,14.120177674515904
374,1,82.4,-0.3521,10.9142,0.08263,L,8.605503202767238,9.294604170990894,10.06047012839906,10.9142,11.868888306425152,12.940058695050325,14.146208944963966
375,1,82.5,-0.3521,10.935,0.0826,L,8.62261706792626,9.31284562230107,10.079936958184648,10.935,11.891140298970276,12.963893616520055,14.17177094939298
376,1,82.6,-0.3521,10.956,0.08258,L,8.639653049086496,9.331083095839917,10.09949114185625,10.956,11.913731094358042,12.988238359975218,14.198053635209726
377,1,82.7,-0.3521,10.9772,0.08255,L,8.657087495953286,9.349669001519707,10.11932878573968,10.9772,11.936415496249746,13.012541791249681,14.224124494411788
378,1,82.8,-0.3521,10.9985,0.08252000000000001,L,8.674603661911698,9.368342173982791,10.139259768384363,10.998500000000003,11.959207223886056,13.03696062608663,14.250319689526433
379,1,82.9,-0.3521,11.0199,0.08249,L,8.692201567026649,9.387102627959235,10.159284097921027,11.0199,11.982106267276649,13.061494842240464,14.276639183284605
380,1,83.0,-0.3521,11.0415,0.08246,L,8.709960115215903,9.406035566204443,10.179493975516207,11.0415,12.005221344606152,13.086262936356697,14.303212478910707
381,1,83.1,-0.3521,11.0632,0.08244,L,8.727559598293508,9.424877667910794,10.199698101173418,11.0632,12.028567591733207,13.111424738445944,14.330380882435817
382,1,83.2,-0.3521,11.0851,0.08241,L,8.745560144395276,9.44407009350725,10.220186722246881,11.0851,12.052006198687067,13.136542484650388,14.35733292225534
